,agglomerative_clustering_c2,agglomerative_clustering_c3,agglomerative_clustering_c4,birch_c2,birch_c3,birch_c4,kmeans_c2,kmeans_c3,kmeans_c4,minibatch_kmeans_c2,minibatch_kmeans_c3,minibatch_kmeans_c4,spectral_clustering_c2,spectral_clustering_c3,spectral_clustering_c4,mean_shift,dbscan,optics,suspected_bot
BanzAAii,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,7,-1
BanHMii,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,64,-1
Bandithis,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Banderstadt,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Banane-verte,0,2,2,1,0,1,0,2,3,0,2,2,1,0,3,1,0,66,-1
balonmania,1,1,0,0,2,2,1,1,1,1,0,1,0,0,0,0,-1,-1,-1
balix_x,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Baldi-89,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
BALBAS-AS,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
BAIIS,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
bagull,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Badpit66,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,9,-1
barklajus275,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
BadbeatAdict,0,0,1,1,0,3,1,0,2,1,1,3,0,0,0,0,0,-1,-1
badbeat9,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,14,-1
BadA_BoOm751,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,15,-1
Backi5629,0,0,1,0,1,0,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Backdoortilt,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Babushka228,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,45,-1
babayagad,0,0,1,1,0,1,0,2,1,0,2,3,0,0,0,0,0,52,-1
babatime15,0,0,1,1,0,1,1,0,2,1,1,3,0,0,0,0,0,33,-1
B218,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,1,-1
a_ti_te,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
azryuo,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,16,-1
AzoRa,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
aymgouv,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,39,-1
BaRhi67,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Barosdidi,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Flloki,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,19,-1
El-P,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Flav23ien,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
FLAMBEUR9515,0,2,2,1,0,1,0,0,2,0,2,0,1,0,0,0,0,-1,-1
flairthuis,1,1,0,0,1,0,0,2,1,0,2,3,0,0,0,0,-1,-1,-1
Flaad,1,1,0,0,2,2,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Elie_68,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,15,-1
Eliaiao,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,-1,-1
Elfiascro,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Elfenomeno98,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
elfaraonodin,0,0,1,1,0,3,0,0,2,0,1,0,1,0,0,0,0,54,-1
Elena318,0,0,1,1,0,1,0,2,1,0,2,3,0,0,0,0,0,-1,-1
ElCrevette,0,2,2,1,0,1,0,2,3,0,2,2,1,0,3,1,0,-1,-1
Elchapo7878,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Elbr,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,0,-1
el-lucifer,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
bartman93,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,-1,-1,-1
efRalgAn,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
ednolou59,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Edn24,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,47,-1
edlio94,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Edenn2712,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
ecoodysse13,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Ebisu8,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,42,-1
Eaufeu,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Dzteams,0,2,2,1,0,1,0,0,2,0,2,0,1,0,0,0,0,-1,-1
Dzpower-YB,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Dzeedyy,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Bastienbeaux,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
bastharden,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,-1,-1
inconnudu34,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,9,-1
